Start_kb	End_kb	Average_rho_per_kb
0	1000	0.0102879
500	1500	0.000526923
1000	2000	5.75591e-05
1500	2500	0.0107467
2000	3000	0.0148611
2500	3500	0.0389863
3000	4000	0.051327
3500	4500	0.0336024
4000	5000	0.0401744
4500	5500	0.0646551
5000	6000	0.0568271
5500	6500	0.0304559
6000	7000	0.071032
6500	7500	0.0803171
7000	8000	0.0284133
7500	8500	0.0489651
8000	9000	0.0553648
8500	9500	0.00681255
9000	10000	0.000458026
9500	10500	0.0237004
10000	11000	0.0373617
10500	11500	0.0175461
11000	12000	0.0251301
11500	12500	0.0464346
12000	13000	0.0572657
12500	13500	0.0457412
13000	14000	0.0652942
13500	14500	0.0755193
14000	15000	0.0269762
14500	15500	0.0302296
15000	16000	0.0829261
15500	16500	0.103386
16000	17000	0.0781108
16500	17500	0.0697401
17000	18000	0.0873429
17500	18500	0.0690975
18000	19000	0.0370133
18500	19500	0.0452809
19000	20000	0.0909958
19500	20500	0.0972605
20000	21000	0.0477529
20500	21500	0.030764
21000	22000	0.0327517
21500	22500	0.0317566
22000	23000	0.0364675
22500	23500	0.0293921
23000	24000	0.0405476
23500	24500	0.0615868
24000	25000	0.0400765
24500	25500	0.0242625
25000	26000	0.0358986
25500	26500	0.0428343
26000	27000	0.0441808
26500	27500	0.0533507
27000	28000	0.0549341
27500	28500	0.0591001
28000	29000	0.0682501
28500	29500	0.0811028
29000	30000	0.0744018
29500	30500	0.0508514
30000	31000	0.0462171
30500	31500	0.033118
31000	32000	0.0318951
31500	32500	0.0405919
32000	33000	0.0331564
32500	33500	0.029784
33000	34000	0.0147747
33500	34500	0.0381848
34000	35000	0.0576135
34500	35500	0.0424164
35000	36000	0.033911
35500	36500	0.0502917
36000	37000	0.0569475
36500	37500	0.0424066
37000	38000	0.0241985
37500	38500	0.0215343
38000	39000	0.0193141
38500	39500	0.0397947
39000	40000	0.0871394
39500	40500	0.071519
40000	41000	0.0253622
40500	41500	0.0281481
41000	42000	0.0199948
41500	42500	0.0188142
42000	43000	0.0194125
42500	43500	0.0155045
43000	44000	0.0281337
43500	44500	0.0395746
44000	45000	0.0195093
44500	45500	0.0327569
45000	46000	0.0407459
45500	46500	0.0532509
46000	47000	0.0653547
46500	47500	0.0530986
47000	48000	0.0528823
47500	48500	0.036878
48000	49000	0.0174166
48500	49500	0.0509567
49000	50000	0.0641489
49500	50500	0.0380097
50000	51000	0.0242257
50500	51500	0.0290946
51000	52000	0.0235098
51500	52500	0.02154
52000	53000	0.0105737
52500	53500	0.0402514
53000	54000	0.0477036
53500	54500	0.0170374
54000	55000	0.0446513
54500	55500	0.0665527
55000	56000	0.0393445
55500	56500	0.0251218
56000	57000	0.0217672
56500	57500	0.0194114
57000	58000	0.0205879
57500	58500	0.015015
58000	59000	0.00516611
58500	59500	0.0078608
59000	60000	0.0140303
59500	60500	0.014948
60000	61000	0.0446749
60500	61500	0.0442405
61000	62000	0.0303862
61500	62500	0.030564
62000	63000	0.0227159
62500	63500	0.00996794
63000	64000	0.0438829
63500	64500	0.0458471
64000	65000	0.010745
64500	65500	0.00235832
65000	66000	0.0179409
65500	66500	0.0253088
66000	67000	0.0135915
66500	67500	0.00399974
67000	68000	0.0193235
67500	68500	0.0208451
68000	69000	0.00866526
68500	69500	0.00272277
69000	70000	0.00684841
69500	70500	0.0196321
70000	71000	0.0185137
70500	71500	0.0285369
71000	72000	0.0308661
71500	72500	0.00174371
72000	73000	0.00474532
72500	73500	0.0105916
73000	74000	0.0114859
73500	74500	0.012226
74000	75000	0.0112002
74500	75500	0.0100725
75000	76000	0.0111618
75500	76500	0.0102473
76000	77000	0.00464257
76500	77500	0.00374217
77000	78000	0.00671026
77500	78500	0.00964385
78000	79000	0.0707941
78500	79500	0.0919063
79000	80000	0.0312353
79500	80500	0.0123372
80000	81000	0.00375254
80500	81500	0.00466546
81000	82000	0.0130658
81500	82500	0.0258666
82000	83000	0.0374883
82500	83500	0.0376625
83000	84000	0.0205454
83500	84500	0.00115848
84000	85000	0.00097069
84500	85500	0.00741241
85000	86000	0.0101555
85500	86500	2.23894e-05
86000	87000	0.000426
86500	87500	0.000681485
87000	88000	0.00160729
87500	88500	0.172243
88000	89000	0.266063
88500	89500	0.18742
89000	90000	0.000720588
89500	90500	0.000394852
90000	91000	0.00524347
90500	91500	0.00569009
91000	92000	0.0220414
91500	92500	0.0231424
92000	93000	0.0015828
92500	93500	0.0144511
93000	94000	0.0542114
93500	94500	0.0579622
94000	95000	0.0520539
94500	95500	0.0556865
95000	96000	0.0752663
95500	96500	0.0757939
96000	97000	0.0361072
96500	97500	0.0406118
97000	98000	0.082426
97500	98500	0.0593149
98000	99000	0.0357366
98500	99500	0.0383999
99000	100000	0.0382725
99500	100500	0.0619309
100000	101000	0.117944
100500	101500	0.0995366
101000	102000	0.0679884
101500	102500	0.079068
102000	103000	0.0871498
102500	103500	0.0922239
103000	104000	0.106249
103500	104500	0.172983
104000	105000	0.149977
104500	105500	0.10003
105000	106000	0.0394083
105500	106500	0.0522011
106000	107000	0.0639304
106500	107500	0.0629917
107000	108000	0.0716678
107500	108500	0.0755819
108000	109000	0.208869
108500	109500	0.186618
109000	110000	0.0310362
109500	110500	0.0395526
110000	111000	0.152601
110500	111500	0.155782
111000	112000	0.0493839
111500	112500	0.0240446
112000	113000	0.0357226
112500	113500	0.0815669
113000	114000	0.0598063
113500	114500	0.0348324
114000	115000	0.0479066
114500	115500	0.0299
115000	116000	0.0189872
115500	116500	0.163695
116000	117000	0.170781
116500	117500	0.0396869
117000	118000	0.0482621
117500	118500	0.0433649
118000	119000	0.0787175
118500	119500	0.0663963
119000	120000	0.0192354
119500	120500	0.0347095
120000	121000	0.0338144
120500	121500	0.0251933
121000	122000	0.0251426
121500	122500	0.0156894
122000	123000	0.0281818
122500	123500	0.0478443
123000	124000	0.0563888
123500	124500	0.0436386
124000	125000	0.041238
124500	125500	0.0659537
125000	126000	0.055351
125500	126500	0.0337306
126000	127000	0.0559515
126500	127500	0.0657342
127000	128000	0.0416383
127500	128500	0.0125175
128000	129000	0.00882776
128500	129500	0.0131702
129000	130000	0.0253968
129500	130500	0.0311473
130000	131000	0.0285233
130500	131500	0.0581834
131000	132000	0.0647606
131500	132500	0.0432354
132000	133000	0.0375101
